"election_id","candidate_id","city_id","post_id","city_name","city_state","total_votes","attendances","valid_votes","name","display_name"
131,114759,"61972",6,"BANANAL","SP",144,6498,5388,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61980",6,"NOVA CAMPINA","SP",131,5365,5000,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61999",6,"BARBOSA","SP",107,4274,3898,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62006",6,"ILHA COMPRIDA","SP",115,5935,5275,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62014",6,"BARÃO DE ANTONINA","SP",74,1988,1675,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62022",6,"LOURDES","SP",54,1564,1391,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62030",6,"BARIRI","SP",474,18303,15127,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62049",6,"TORRE DE PEDRA","SP",14,1901,1780,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62057",6,"BARRA BONITA","SP",927,24003,19649,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62065",6,"ARCO-ÍRIS","SP",13,1631,1522,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62073",6,"BARRA DO TURVO","SP",40,4566,4275,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62081",6,"BREJO ALEGRE","SP",98,1932,1646,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62090",6,"BARRETOS","SP",2272,65556,56571,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62103",6,"CANAS","SP",114,3019,2732,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62111",6,"BARRINHA","SP",575,17179,13902,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62120",6,"PRACINHA","SP",28,1157,1050,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62138",6,"BARUERI","SP",6868,195600,166812,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62146",6,"PRATÂNIA","SP",68,3294,2841,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62154",6,"BASTOS","SP",483,13425,11183,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62162",6,"QUADRA","SP",59,2267,2068,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62170",6,"BATATAIS","SP",1118,34206,28788,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62189",6,"SANTA CRUZ DA ESPERANÇA","SP",43,1434,1291,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62197",6,"BAURU","SP",5581,207821,176288,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62200",6,"SANTA SALETE","SP",27,1313,1177,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62219",6,"BEBEDOURO","SP",1292,44936,38045,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62227",6,"VITÓRIA BRASIL","SP",20,1333,1174,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62235",6,"BENTO DE ABREU","SP",127,1716,1431,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62243",6,"IPIGUÁ","SP",109,2966,2583,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62251",6,"BERNARDINO DE CAMPOS","SP",212,6611,5533,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62260",6,"TAQUARAL","SP",60,1775,1569,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62278",6,"BILAC","SP",277,4750,3913,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62286",6,"FERNÃO","SP",32,1225,1091,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62294",6,"BIRIGUI","SP",4082,66307,54406,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62308",6,"GAVIÃO PEIXOTO","SP",97,3049,2678,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62316",6,"BIRITIBA MIRIM","SP",486,18049,16010,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62324",6,"JUMIRIM","SP",46,1842,1629,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62332",6,"BOA ESPERANÇA DO SUL","SP",327,8077,6945,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62340",6,"NANTES","SP",77,1832,1697,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62359",6,"BOCAINA","SP",200,6963,5941,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62367",6,"NOVA CASTILHO","SP",31,1073,970,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62375",6,"BOFETE","SP",125,5674,4914,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62383",6,"OUROESTE","SP",198,5856,5021,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62391",6,"BOITUVA","SP",1590,30070,24034,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62405",6,"PAULISTÂNIA","SP",18,1266,1177,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62413",6,"BOM JESUS DOS PERDÕES","SP",487,12061,10123,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62421",6,"RIBEIRÃO DOS ÍNDIOS","SP",29,1614,1393,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62430",6,"BORÁ","SP",26,839,751,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62448",6,"TRABIJU","SP",17,1259,1193,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62456",6,"BORACÉIA","SP",45,2970,2704,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62472",6,"BORBOREMA","SP",240,8706,7465,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62499",6,"BOTUCATU","SP",2651,75857,62426,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62510",6,"BRAGANÇA PAULISTA","SP",4241,95525,80851,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62553",6,"BRAÚNA","SP",212,3398,2954,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62570",6,"BRODOWSKI","SP",249,12356,10583,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62596",6,"BROTAS","SP",411,13474,11394,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62618",6,"BURI","SP",198,11435,10311,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62634",6,"BURITAMA","SP",402,9388,7739,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62650",6,"BURITIZAL","SP",50,2775,2506,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62677",6,"CABRÁLIA PAULISTA","SP",42,2975,2650,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62693",6,"CABREÚVA","SP",795,26489,22043,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62715",6,"CAÇAPAVA","SP",2835,54984,44446,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62731",6,"CACHOEIRA PAULISTA","SP",678,19217,16252,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62758",6,"CACONDE","SP",215,10868,9503,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62774",6,"CAFELÂNDIA","SP",319,10141,8857,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62790",6,"CAIABU","SP",73,2963,2663,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62812",6,"CAIEIRAS","SP",2186,52926,41750,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62839",6,"CAIUÁ","SP",120,3037,2773,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62855",6,"CAJAMAR","SP",1764,45077,37629,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62871",6,"CAJOBI","SP",152,6275,5538,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62898",6,"CAJURU","SP",385,14297,12233,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62910",6,"CAMPINAS","SP",25357,642732,515434,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62936",6,"CAMPO LIMPO PAULISTA","SP",1883,48493,39191,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62952",6,"CAMPOS DO JORDÃO","SP",1575,28902,22990,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62979",6,"CAMPOS NOVOS PAULISTA","SP",47,2885,2580,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62995",6,"CANANÉIA","SP",180,7137,6405,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63010",6,"CÂNDIDO MOTA","SP",924,19033,16026,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63037",6,"CÂNDIDO RODRIGUES","SP",33,2027,1693,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63053",6,"CAPÃO BONITO","SP",539,27832,25212,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63070",6,"CAPELA DO ALTO","SP",283,10363,9069,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63096",6,"CAPIVARI","SP",607,28642,24776,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63118",6,"CARAGUATATUBA","SP",4065,59794,47632,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63134",6,"CARAPICUÍBA","SP",10336,226694,181195,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63150",6,"CARDOSO","SP",155,7395,6280,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63177",6,"CASA BRANCA","SP",425,15589,13216,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63193",6,"CÁSSIA DOS COQUEIROS","SP",41,2027,1739,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63215",6,"CASTILHO","SP",854,11115,9395,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63231",6,"CATANDUVA","SP",1472,68485,58129,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63258",6,"CATIGUÁ","SP",89,4899,4212,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63274",6,"CEDRAL","SP",89,5532,4719,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63290",6,"CERQUEIRA CÉSAR","SP",384,10678,8971,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63312",6,"CERQUILHO","SP",1123,25061,19368,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63339",6,"CESÁRIO LANGE","SP",317,9238,7509,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63355",6,"CHARQUEADA","SP",284,10140,8854,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63371",6,"CHAVANTES","SP",231,7643,6542,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63398",6,"CLEMENTINA","SP",240,4157,3483,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63410",6,"COLINA","SP",313,11111,9409,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63436",6,"COLÔMBIA","SP",109,4277,3876,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63452",6,"CONCHAL","SP",307,16433,13088,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63479",6,"CONCHAS","SP",327,9963,8653,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63495",6,"CORDEIRÓPOLIS","SP",774,14071,11315,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63517",6,"COROADOS","SP",228,3340,2906,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63533",6,"CORONEL MACEDO","SP",91,3453,3156,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63550",6,"CORUMBATAÍ","SP",61,2474,2103,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"63576",6,"COSMÓPOLIS","SP",1146,34925,27103,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
