image,street_wid,sidewalk_wid,landscape,build_ident,trees
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_602_22.jpg,40,6,4,0,6
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_284_90.jpg,20,8,4,3,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_284_270.jpg,20,8,4,3,1
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_130_180.jpg,20,8,5,3,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_120_112.jpg,20,6,3,0,3
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_130_360.jpg,20,8,3,2,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_360_270.jpg,40,8,4,0,3
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_300_135.jpg,12,2,3,2,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_360_270.jpg,20,6,3,0,3
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_248_270.jpg,20,8,4,3,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_190_180.jpg,20,8,4,2,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1546_22.jpg,38,6,5,0,6
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_190_270.jpg,20,8,4,2,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_120_293.jpg,20,5,4,0,7
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_284_180.jpg,12,8,4,1,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_300_22.jpg,12,2,2,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1136_22.jpg,38,7,3,0,4
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_239_90.jpg,38,7,4,0,2
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1546_135.jpg,38,5,4,0,3
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_222_315.jpg,12,2,3,2,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_222_135.jpg,20,5,3,2,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_190_360.jpg,20,8,4,4,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_602_203.jpg,38,8,3,0,6
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_70_315.jpg,36,5,3,0,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_188_203.jpg,20,5,2,1,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_284_360.jpg,20,8,3,3,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_1546_203.jpg,28,7,3,0,3
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_500_203.jpg,38,5,1,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_500_90.jpg,38,5,2,2,1
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_222_22.jpg,12,2,1,2,0
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_360_90.jpg,20,8,4,2,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_300_203.jpg,12,5,3,2,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_70_203.jpg,38,4,3,0,1
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_54_112.jpg,38,7,3,0,3
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_370_135.jpg,20,5,2,1,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_602_135.jpg,36,5,2,0,5
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_188_135.jpg,28,4,2,2,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_392_22.jpg,20,7,2,2,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_239_270.jpg,40,6,4,0,0
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_360_90.jpg,38,5,1,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_70_22.jpg,38,5,4,0,2
https://contribua.org/bairros/oeste/catole/R._Inácio_Marquês_da_Silva_120_203.jpg,20,6,3,0,0
https://contribua.org/bairros/norte/centro/R._Manoel_Pereira_de_Araújo_370_203.jpg,20,6,1,0,0
https://contribua.org/bairros/oeste/liberdade/R._Edésio_Silva_306_315.jpg,40,7,3,0,2
https://contribua.org/bairros/norte/centro/R._Maciel_Pinheiro_130_270.jpg,20,8,4,4,0
